,title,artist,genre,year,bpm,energy,dance,dB,duration,popularity
195,Take Back the Night,Justin Timberlake,dance pop,2013,107,66,59,-5,353,54
196,Applause,Lady Gaga,dance pop,2013,140,78,67,-4,212,52
197,Anything Could Happen,Ellie Goulding,dance pop,2013,103,78,70,-4,286,52
198,Finally Found You,Enrique Iglesias,dance pop,2013,128,88,62,-5,221,52
199,Pom Poms,Jonas Brothers,boy band,2013,148,98,68,-2,198,52
200,#Beautiful,Mariah Carey,dance pop,2013,107,76,68,-5,200,51
201,How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,201,95,36,-3,211,50
202,Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,128,75,72,-4,229,46
203,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,2013,128,57,69,-5,257,45
204,People Like Us,Kelly Clarkson,dance pop,2013,128,79,60,-5,259,45
205,Overdose,Ciara,dance pop,2013,107,70,77,-6,227,43
206,Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013,130,74,53,-6,186,42
207,Give It 2 U,Robin Thicke,dance pop,2013,127,83,67,-4,230,41
208,Foolish Games,Jewel,alaska indie,2013,132,34,51,-11,250,36
209,Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,2013,95,84,71,-4,207,35
210,Freak,Kelly Rowland,atl hip hop,2013,104,78,65,-5,274,28
211,All of Me,John Legend,neo mellow,2014,120,26,42,-7,270,86
212,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,173,85
213,Summer,Calvin Harris,dance pop,2014,128,86,60,-4,223,80
214,"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,160,82,65,-5,233,79
215,Rude,MAGIC!,pop,2014,144,76,77,-5,225,79
216,Shake It Off,Taylor Swift,pop,2014,160,80,65,-5,219,78
217,Dark Horse,Katy Perry,dance pop,2014,132,59,65,-6,216,78
218,Hey Brother,Avicii,big room,2014,125,78,55,-5,255,78
219,Maps,Maroon 5,pop,2014,120,71,74,-6,190,78
220,Treasure,Bruno Mars,pop,2014,116,69,87,-5,179,77
221,Let Her Go,Passenger,folk-pop,2014,75,54,51,-7,253,77
222,Problem,Ariana Grande,dance pop,2014,103,81,66,-5,194,75
223,Pompeii,Bastille,metropopolis,2014,127,72,68,-6,214,73
224,Team,Lorde,art pop,2014,100,58,69,-7,193,73
225,Love Me Again,John Newman,pop,2014,126,89,50,-5,240,73
226,Latch,Disclosure,house,2014,122,73,50,-5,256,72
227,Adore You,Miley Cyrus,dance pop,2014,120,66,58,-5,279,72
228,Love Never Felt So Good,Michael Jackson,pop,2014,118,72,78,-6,246,71
229,Burn,Ellie Goulding,dance pop,2014,87,78,56,-5,231,71
230,She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,49,-4,202,71
231,Fancy,Iggy Azalea,australian hip hop,2014,95,72,91,-4,200,70
232,Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,100,65,76,-7,178,68
233,Gorilla,Bruno Mars,pop,2014,140,54,72,-7,244,68
234,human,Christina Perri,dance pop,2014,144,49,44,-6,251,68
235,Young Girls,Bruno Mars,pop,2014,126,75,56,-5,229,67
236,Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,82,62,70,-7,193,67
237,Love Runs Out,OneRepublic,dance pop,2014,120,93,72,-4,225,66
238,This Is How We Do,Katy Perry,dance pop,2014,96,64,69,-6,204,66
239,Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014,126,92,71,-4,232,65
240,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014,130,62,76,-6,241,65
241,#SELFIE,The Chainsmokers,electropop,2014,128,92,79,-3,184,65
242,Partition,Beyoncé,dance pop,2014,186,44,41,-12,319,65
243,Birthday,Katy Perry,dance pop,2014,126,67,72,-5,215,65
244,G.U.Y.,Lady Gaga,dance pop,2014,110,92,62,-3,233,65
245,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014,128,74,60,-3,217,64
246,"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014,140,66,50,-6,226,63
247,Wings,Birdy,neo mellow,2014,83,71,47,-5,252,62
248,Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,2014,138,81,69,-4,207,62
249,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014,192,77,35,-4,191,61
250,Say Something,A Great Big World,neo mellow,2014,138,15,45,-9,229,61
251,A Sky Full of Stars,Coldplay,permanent wave,2014,125,68,55,-6,268,60
252,Come Get It Bae,Pharrell Williams,dance pop,2014,120,80,93,-6,202,59
253,Chandelier,Sia,australian dance,2014,174,78,29,-3,216,56
254,XO,Beyoncé,dance pop,2014,170,79,47,-9,216,56
255,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,2014,125,94,60,-4,222,56
256,Not About Angels,Birdy,neo mellow,2014,116,14,41,-10,190,56
257,Drunk in Love,Beyoncé,dance pop,2014,140,62,59,-7,323,52
258,Anaconda,Nicki Minaj,dance pop,2014,130,60,96,-6,260,50
